Start,End,midLat,midLong
Plymouth,Millbrook Lake,50.361,-4.176
Polgigga,St Buryan,50.065,-5.645
Pool of Virkie,Loch of Hillwell,59.897,-1.311
Pool of Virkie,Scatness,59.876,-1.304
Poole Harbour,Stanpit Marsh,50.715,-1.869
Port Charlotte,Esknish,55.772,-6.29
Port Clarence,Saltholme,54.594,-1.229
Port of Ness,Eoropie,58.498,-6.426
Porth Conger,Gugh,49.895,-6.335
Porth Hellick,Carn Friars,49.918,-6.286
Porth Hellick,Lower Moors,49.917,-6.295
Porth Hellick,Salakee,49.917,-6.288
Porth Hellick,St Agnes (general),49.905,-6.316
Porth Hellick,Tresco (general),49.936,-6.309
Porth Killier,Periglis,49.895,-6.347
Porthcurno,Porthgwarra,50.041,-5.665
Porthgwarra,Nanjizal,50.046,-5.683
Porthgwarra,St Levan,50.041,-5.669
Porthmadog,Black Rock Sands,52.918,-4.158
Porthmadog,Traeth Bach,52.913,-4.123
Portland,Chesil Beach,50.571,-2.467
Portstewart,Castlerock,55.178,-6.755
Potteric Carr,Lakeside,53.503,-1.105
Power Head,Ballycotton,51.809,-8.092
Pugneys Country Park,Anglers Country Park,53.646,-1.467
Pulfin,High Eske,53.882,-0.401
Radipole Lake,Abbotsbury,50.64,-2.529
Radipole Lake,Lodmoor,50.624,-2.449
Radipole Lake,West Bexington,50.647,-2.563
Radipole Lake,Weymouth,50.612,-2.456
Reclamation Pond,Haverton Hole,54.601,-1.218
Rerwick,Scousburgh,59.95,-1.327
Riding Stables,Airport,49.92,-6.291
Ring,Pilmore Strand,51.901,-7.898
Ringasta,Virkie,59.901,-1.316
Rockcliffe Marsh,Gretna,54.985,-3.062
Rocky Hill,Lower Moors,49.917,-6.303
Rogerstown Estuary,Rush,53.513,-6.106
Roke,Brightwell-cum-Sotwell,51.626,-1.127
Ronas Hill,Sullom Voe,60.498,-1.377
Rossal Point,Fleetwood,53.921,-3.042
Rosscarbery,Owenahincha,51.573,-9.015
Rother Valley,Thrybergh Country Park,53.398,-1.305
Rousay,Westray (general),59.227,-2.999
Rubha Ardvule,Peninerine,57.267,-7.43
Rutland Water,Eyebrook Reservoir,52.602,-0.691
Rutland Water,Stanwick Gravel Pits,52.493,-0.61
Rye Meads,Broxbourne,51.759,-0.007
Rye Meads,Roydon,51.774,0.024
Salakee,Airport,49.915,-6.291
Saltholme,Cowpen Marsh,54.608,-1.24
Saltholme,Greenabella Marsh,54.614,-1.217
Salthouse,Weybourne,52.949,1.121
Samlesbury,Withnell Fold,53.73,-2.599
Samson Hill,Green Bay,49.948,-6.352
Samson Hill,Southward,49.949,-6.353
Sanaigmore,Machir Bay,55.817,-6.435
Sandgarth,Sand Water,60.494,-1.208
Sandwich Bay,Pegwell Bay,51.292,1.378
Sandwick,Hoswick,60.0,-1.246
Scatness,Pool of Virkie,59.876,-1.304
Sea area Viking,Hermaness,60.414,0.579
Sea Palling,Waxham,52.783,1.613
Seafield,Helendale,60.147,-1.166
Seaforth,Crosby Marine Park,53.468,-3.026
Seaforth,New Brighton,53.452,-3.034
Seahouses,Beadnell,55.569,-1.64
Seaton Snook,Newburn Bridge,54.66,-1.184
Shalfleet,Newtown,50.708,-1.409
Sheringham,West Runton,52.943,1.23
Sheringham,Weybourne,52.945,1.179
Simpson's Field,Abbey Pool,49.949,-6.332
Skaw,Norwick,60.815,-0.8
Skelberry,Hillwell,60.131,-1.24
Skokholm,Skomer,51.718,-5.287
Sleaford,Frith End,51.143,-0.85
Slimbridge,Frampton-on-Severn,51.752,-2.381
Smerclate,Garrynamonie,57.119,-7.371
Smerwick Harbour,Ballyferriter,52.178,-10.39
Soldier's Point,Rogerstown Estuary,53.757,-6.239
Garrison,Giant's Castle,49.912,-6.304
South Ferriby,Read's Island,53.68,-0.523
South Gare,Hartlepool Headland,54.665,-1.153
South Gare,Seaton Snook,54.637,-1.147
South Milton Ley,Thurlestone,50.267,-3.854
South Shields,North Shields,55.004,-1.438
South Shields,Whitburn,54.977,-1.394
Spurn,Kilnsea,53.614,0.14
Spurn,Patrington,53.646,0.067
St Agnes (general),St Mary's (general),49.906,-6.323
St Agnes (general),Tresco (general),49.923,-6.339
St Combs,Loch of Strathbeg,57.639,-1.891
St Germans (Cornwall),Polbathic Creek,50.392,-4.31
St Ives,Godrevy,50.222,-5.442
St Ives,Newlyn,50.157,-5.521
St John's Lake,Millbrook Lake,50.358,-4.213
St Mary's (general),Tresco (general),49.937,-6.316
St Mary's (general),Wingletang,49.904,-6.321
St Osyth,Colne Point,51.785,1.058
Stag Rocks,Ross Back Sands,55.627,-1.748
Stanpit Marsh,Coward's Marsh,50.741,-1.774
Stanpit Marsh,Hengistbury Head,50.72,-1.756
Stiffkey,Warham,52.948,0.919
Stithians Reservoir,College Reservoir,50.171,-5.165
Stodmarsh,Collard's Lake,51.308,1.173
Stodmarsh,Grove Ferry,51.318,1.199
Stodmarsh,Hersden,51.312,1.179
Stoke Orchard,Bishop's Cleeve,51.95,-2.095
Stoneship Porth,Rushy Bay,49.946,-6.359
Stornoway,Ranish,58.173,-6.397
Stronsay,North Ronaldsay,59.242,-2.514
Sumburgh,Grutness,59.871,-1.283
Sunk Island,Stone Creek,53.652,-0.099
Swillington Ings,Fairburn Ings,53.746,-1.366
Tacumshin,Churchtown,52.167,-6.691
Tacumshin,Lady Island's Lake,52.198,-6.424
Tacumshin,Rosslare,52.229,-6.416
Tarty Burn,Ythan Estuary,57.325,-2.044
Teignmouth,Dawlish Warren,50.577,-3.467
Telegraph,Borough Farm (St Mary's),49.929,-6.299
Telegraph,Tresco (general),49.941,-6.318
Tetney,North Cotes Point,53.509,0.036
The Loons,Marwick,59.099,-3.33
Thornham,Holme,52.967,0.56
Thrapston Gravel Pits,Ringstead Gravel Pits,52.392,-0.541
Thurlestone,Slapton Ley,50.273,-3.758
Tilford,Farnham Heath,51.186,-0.761
Tingwall,Eynhallo Sound,59.654,-2.199
Titchfield Haven,Lee-on-Solent,50.81,-1.222
Titchwell,Thornham,52.966,0.594
Tophill Low,Swine Moor,53.887,-0.382
Traeth Dulas,Traeth Lligwy,53.371,-4.268
Traigh nan Gilean,Loch a'Phuill,56.471,-6.959
Trearddur Bay,Holyhead,53.294,-4.626
Tremelethen,Parting Carn,49.919,-6.296
Tremorfa Park,Rhymney Estuary,51.49,-3.131
Trenoweth,Telegraph,49.931,-6.3
Tresco (general),Bryher (general),49.954,-6.343
Tresco (general),Newford Duckpond,49.942,-6.314
Trethewey,Land's End,50.061,-5.685
Trondra,Tingwall,60.14,-1.266
UEA Broad,Whitlingham Lane,52.621,1.288
Uig,Bru,58.272,-6.789
Ullapool,Ardmair,57.914,-5.178
Usk Reservoir,Glasfynydd Forest,51.941,-3.715
Vane Farm,Gellybank,56.18,-3.38
Veensgarth,Reawick,58.189,-2.383
Virkie,Toab,59.886,-1.308
Wainfleet,Friskney,53.067,0.24
Walcott,Paston,52.849,1.477
Waldringfield,Landguard,51.996,1.325
Wanlip,Watermead Country Park,52.685,-1.112
Wells,Holkham,52.965,0.82
Wells,Scolt Head,52.975,0.771
Welney,Ouse Washes,52.497,0.226
Welwick Marsh,Spurn,53.63,0.088
Land's End,Marazion,50.096,-5.596
West Runton,Cromer,52.936,1.275
Weybourne,Sheringham,52.945,1.179
Weymouth,Dorchester,50.659,-2.447
Weymouth,Ferrybridge,50.597,-2.463
Weymouth,Portland,50.577,-2.445
Whitburn,East Boldon,54.952,-1.391
Whitburn,Cleadon,54.957,-1.373
Whitrigg Marsh,Whitrigglees Moss,54.909,-3.202
Whitton Sands,Faxfleet,53.71,-0.681
